ticker,cik,filing_date,open,close,adj_close,yest_open,yest_close,yest_adj_close,curr_mkt_cap
RIIC,1079574,4/15/09,NA,NA,NA,NA,NA,NA,751K
RIIC,1079574,4/15/10,NA,NA,NA,NA,NA,NA,751K
RINO,1394220,4/1/08,7.75,7.75,7.75,7.75,7.75,7.75,3K
RINO,1394220,3/31/09,2.5,2.5,2.5,2.5,2.5,2.5,3K
RINO,1394220,3/31/10,23.72,23.73,23.73,23.01,23.01,23.01,3K
RIOB,1502774,12/29/11,NA,NA,NA,NA,NA,NA,6.6M
RIOB,1502774,4/16/13,1,1,1,1,1,1,6.6M
RIOB,1502774,4/14/14,NA,NA,NA,NA,NA,NA,6.6M
RITE,1096296,3/31/09,2,2,2,2,2,2,34K
RITE,1096296,4/15/10,3.5,3.5,3.5,3.5,3.5,3.5,34K
RITE,1096296,4/14/11,1.25,2.35,2.35,1,1,1,34K
RITE,1096296,4/16/12,NA,NA,NA,NA,NA,NA,34K
RITE,1096296,4/16/13,0.17,0.17,0.17,0.16,0.16,0.16,34K
RITE,1096296,5/21/14,0,0,0,0,0,0,34K
RIVE,1452899,4/10/09,NA,NA,NA,NA,NA,NA,35.1M
RIVE,1452899,3/24/10,8.5,8.5,6.84,8.55,8.55,6.88,35.1M
RIVE,1452899,3/29/11,11.8,11.8,9.91,11.8,11.8,9.91,35.1M
RIVE,1452899,3/28/12,12.4,12.4,10.88,12.4,12.4,10.88,35.1M
RIVR,1015593,3/31/97,NA,NA,NA,NA,NA,NA,53.5M
RIVR,1015593,3/31/98,19.75,19.75,5.11,19.75,19.75,5.11,53.5M
RIVR,1015593,3/31/99,14.25,14.25,3.74,14.25,14.25,3.74,53.5M
RIVR,1015593,3/23/00,10.31,10.31,2.77,10.31,10.31,2.77,53.5M
RIVR,1015593,3/31/06,19.22,18.78,12.09,19.16,19.16,12.33,53.5M
RIVR,1015593,3/16/07,17.5,17.5,11.63,17.5,17.5,11.63,53.5M
RIVR,1015593,3/17/08,NA,NA,NA,NA,NA,NA,53.5M
RIVR,1015593,3/18/09,12,12,8.86,11.5,11.5,8.49,53.5M
RIVR,1015593,3/16/10,13.21,13.21,10.43,13.05,13.05,10.31,53.5M
RIVR,1015593,3/16/11,14.57,14.56,12.18,14.55,14.55,12.17,53.5M
RIVR,1015593,3/16/12,15.5,15.5,13.67,15.5,15.5,13.67,53.5M
RIVR,1015593,3/19/13,20.94,21.25,19.75,20.66,20.66,19.2,53.5M
RIVR,1015593,3/18/14,25.59,25.75,25.02,25.97,25.97,25.24,53.5M
RIVT,1018349,12/17/02,1.08,1.2,1.2,1.05,1.05,1.05,43K
RIVT,1018349,12/1/03,NA,NA,NA,NA,NA,NA,43K
RIVT,1018349,12/27/04,NA,NA,NA,NA,NA,NA,43K
RIVT,1018349,11/30/05,0.61,0.5,0.5,0.6,0.6,0.6,43K
RIVT,1018349,12/1/06,0.33,0.3,0.3,0.33,0.33,0.33,43K
RJDG,1498210,10/9/12,NA,NA,NA,NA,NA,NA,12K
RJDG,1498210,12/21/12,NA,NA,NA,NA,NA,NA,12K
RJDG,1498210,12/16/13,NA,NA,NA,NA,NA,NA,12K
RJET,1159154,3/29/05,12.67,12.85,12.85,12.85,12.85,12.85,624.8M
RJET,1159154,2/27/06,NA,NA,NA,NA,NA,NA,624.8M
RJET,1159154,3/15/07,20.49,20.79,20.79,20.45,20.45,20.45,624.8M
RJET,1159154,2/21/08,21.09,20.63,20.63,21.38,21.38,21.38,624.8M
RJET,1159154,3/16/09,NA,NA,NA,NA,NA,NA,624.8M
RJET,1159154,3/16/10,5.5,5.66,5.66,5.44,5.44,5.44,624.8M
RJET,1159154,3/15/11,6.06,6.14,6.14,6.26,6.26,6.26,624.8M
RJET,1159154,3/15/12,4.76,4.89,4.89,4.74,4.74,4.74,624.8M
RJET,1159154,3/15/13,10.81,10.89,10.89,10.84,10.84,10.84,624.8M
RJET,1159154,3/11/14,9.53,9.54,9.54,9.55,9.55,9.55,624.8M
RJF,720005,12/29/95,21.25,21.25,3.25,21.25,21.25,3.25,8.052B
RJF,720005,12/23/96,NA,NA,NA,NA,NA,NA,8.052B
RJF,720005,12/24/97,38.5,38.25,9.02,38.5,38.5,9.08,8.052B
RJF,720005,12/24/98,20.5,20.56,7.35,20.75,20.75,7.42,8.052B
RJF,720005,12/22/99,17.81,18,6.53,17.94,17.94,6.51,8.052B
RJF,720005,12/22/00,31.75,33.12,12.17,31.75,31.75,11.67,8.052B
RJF,720005,12/21/01,34.55,34.45,12.81,34.2,34.2,12.72,8.052B
RJF,720005,12/23/02,NA,NA,NA,NA,NA,NA,8.052B
RJF,720005,12/23/03,36.82,36.87,13.99,36.82,36.82,13.97,8.052B
RJF,720005,12/8/04,29.71,29.93,17.22,29.7,29.7,17.08,8.052B
RJF,720005,12/14/05,37.6,37.73,21.93,37.53,37.53,21.82,8.052B
RJF,720005,12/14/06,31.43,31.44,27.7,31.43,31.43,27.69,8.052B
RJF,720005,11/29/07,32.05,32.32,28.85,32.29,32.29,28.82,8.052B
RJF,720005,11/28/08,NA,NA,NA,NA,NA,NA,8.052B
RJF,720005,11/27/09,NA,NA,NA,NA,NA,NA,8.052B
RJF,720005,11/24/10,28.93,29.27,27.64,28.74,28.74,27.14,8.052B
RJF,720005,11/23/11,26.77,26.02,24.98,27.1,27.1,26.02,8.052B
RJF,720005,11/21/12,37.61,37.52,36.58,37.55,37.55,36.6,8.052B
RJF,720005,11/26/13,48.55,48.17,47.59,48.64,48.64,48.05,8.052B
RKT,230498,12/24/96,20,20,7.18,20,20,7.18,8.207B
RKT,230498,12/22/97,NA,NA,NA,NA,NA,NA,8.207B
RKT,230498,12/21/98,NA,NA,NA,NA,NA,NA,8.207B
RKT,230498,12/22/99,14.12,14.5,5.51,14.25,14.25,5.42,8.207B
RKT,230498,12/20/00,6.69,6.81,2.67,6.69,6.69,2.62,8.207B
RKT,230498,12/20/01,14.05,13.6,5.48,14.1,14.1,5.68,8.207B
RKT,230498,12/17/02,13.65,13.45,5.53,13.63,13.63,5.6,8.207B
